Taxon,NAm_CAmUpper,CAmLower,Choco_Caribe,Andes,Amaz,LAnt_PR,Cuba_Jam_Cay,Hisp,Bah
caudalis,0,0,0,0,0,0,0,1,0
chlorocyanus,0,0,0,0,0,0,0,1,0
christophei,0,0,0,0,0,0,0,1,0
coelestinus,0,0,0,0,0,0,0,1,0
cybotes,0,0,0,0,0,0,0,1,0
darlingtoni,0,0,0,0,0,0,0,1,0
distichus,0,0,0,0,0,0,0,1,0
dolichocephalus,0,0,0,0,0,0,0,1,0
dominicensis,0,0,0,0,0,0,0,1,0
etheridgei,0,0,0,0,0,0,0,1,0
eugenegrahami,0,0,0,0,0,0,0,1,0
favillarum,0,0,0,0,0,0,0,1,0
fowleri,0,0,0,0,0,0,0,1,0
haetianus,0,0,0,0,0,0,0,1,0
hendersoni,0,0,0,0,0,0,0,1,0
ignigularis,0,0,0,0,0,0,0,1,0
insolitus,0,0,0,0,0,0,0,1,0
koopmani,0,0,0,0,0,0,0,1,0
longiceps,0,0,0,0,0,0,0,1,0
longitibialis,0,0,0,0,0,0,0,1,0
marcanoi,0,0,0,0,0,0,0,1,0
marron,0,0,0,0,0,0,0,1,0
monticola,0,0,0,0,0,0,0,1,0
olssoni,0,0,0,0,0,0,0,1,0
placidus,0,0,0,0,0,0,0,1,0
properus,0,0,0,0,0,0,0,1,0
ravitergum,0,0,0,0,0,0,0,1,0
ricordii,0,0,0,0,0,0,0,1,0
rimarum,0,0,0,0,0,0,0,1,0
rupinae,0,0,0,0,0,0,0,1,0
semilineatus,0,0,0,0,0,0,0,1,0
sheplani,0,0,0,0,0,0,0,1,0
shrevei,0,0,0,0,0,0,0,1,0
singularis,0,0,0,0,0,0,0,1,0
strahmi,0,0,0,0,0,0,0,1,0
vinosus,0,0,0,0,0,0,0,1,0
websteri,0,0,0,0,0,0,0,1,0
whitemani,0,0,0,0,0,0,0,1,0
altae,0,1,0,0,0,0,0,0,0
apletophallus,0,1,0,0,0,0,0,0,0
aquaticus,0,1,0,0,0,0,0,0,0
benedikti,0,1,0,0,0,0,0,0,0
biscutiger,0,1,0,0,0,0,0,0,0
casildae,0,1,0,0,0,0,0,0,0
charlesmyeri,0,1,0,0,0,0,0,0,0
cryptolimifrons,0,1,0,0,0,0,0,0,0
datzorum,0,1,0,0,0,0,0,0,0
fortunensis,0,1,0,0,0,0,0,0,0
fungosus,0,1,0,0,0,0,0,0,0
ginaelisae,0,1,0,0,0,0,0,0,0
gruuo,0,1,0,0,0,0,0,0,0
humilis,0,1,0,0,0,0,0,0,0
ibanezi,0,1,0,0,0,0,0,0,0
insignis,0,1,0,0,0,0,0,0,0
kunayalae,0,1,0,0,0,0,0,0,0
magnaphallus,0,1,0,0,0,0,0,0,0
marsupialis,0,1,0,0,0,0,0,0,0
microtus,0,1,0,0,0,0,0,0,0
monteverde,0,1,0,0,0,0,0,0,0
pachypus,0,1,0,0,0,0,0,0,0
polylepis,0,1,0,0,0,0,0,0,0
pseudokemptoni,0,1,0,0,0,0,0,0,0
pseudopachypus,0,1,0,0,0,0,0,0,0
tenorioensis,0,1,0,0,0,0,0,0,0
townsendi,0,1,0,0,0,0,0,0,0
tropidolepis,0,1,0,0,0,0,0,0,0
woodi,0,1,0,0,0,0,0,0,0
alvarezdeltoroi,1,0,0,0,0,0,0,0,0
amplisquamosus,1,0,0,0,0,0,0,0,0
beckeri,1,0,0,0,0,0,0,0,0
bicaorum,1,0,0,0,0,0,0,0,0
campbelli,1,0,0,0,0,0,0,0,0
cobanensis,1,0,0,0,0,0,0,0,0
concolor,1,0,0,0,0,0,0,0,0
cristifer,1,0,0,0,0,0,0,0,0
cuprinus,1,0,0,0,0,0,0,0,0
cusuco,1,0,0,0,0,0,0,0,0
dollfusianus,1,0,0,0,0,0,0,0,0
heteropholidotus,1,0,0,0,0,0,0,0,0
hobartsmithi,1,0,0,0,0,0,0,0,0
johnmeyeri,1,0,0,0,0,0,0,0,0
kreutzi,1,0,0,0,0,0,0,0,0
loveridgei,1,0,0,0,0,0,0,0,0
macrophallus,1,0,0,0,0,0,0,0,0
matudai,1,0,0,0,0,0,0,0,0
morazani,1,0,0,0,0,0,0,0,0
muralla,1,0,0,0,0,0,0,0,0
nelsoni,1,0,0,0,0,0,0,0,0
ocelloscapularis,1,0,0,0,0,0,0,0,0
parvicirculatus,1,0,0,0,0,0,0,0,0
pijolense,1,0,0,0,0,0,0,0,0
pinchoti,1,0,0,0,0,0,0,0,0
purpurgularis,1,0,0,0,0,0,0,0,0
roatanensis,1,0,0,0,0,0,0,0,0
rubribarbaris,1,0,0,0,0,0,0,0,0
serranoi,1,0,0,0,0,0,0,0,0
sminthus,1,0,0,0,0,0,0,0,0
utilensis,1,0,0,0,0,0,0,0,0
villai,1,0,0,0,0,0,0,0,0
wampuensis,1,0,0,0,0,0,0,0,0
wellbornae,1,0,0,0,0,0,0,0,0
wermuthi,1,0,0,0,0,0,0,0,0
yoroensis,1,0,0,0,0,0,0,0,0
zeus,1,0,0,0,0,0,0,0,0
annectens,0,0,1,0,0,0,0,0,0
gaigei,0,0,1,0,0,0,0,0,0
menta,0,0,1,0,0,0,0,0,0
onca,0,0,1,0,0,0,0,0,0
paravertebralis,0,0,1,0,0,0,0,0,0
santamartae,0,0,1,0,0,0,0,0,0
solitarius,0,0,1,0,0,0,0,0,0
umbrivagus,0,0,1,0,0,0,0,0,0
bonairensis,0,0,1,0,0,0,0,0,0
lineatus,0,0,1,0,0,0,0,0,0
auratus,0,1,1,0,1,0,0,0,0
barkeri,1,0,0,0,0,0,0,0,0
boulengerianus,1,0,0,0,0,0,0,0,0
compressicauda,1,0,0,0,0,0,0,0,0
crassulus,1,0,0,0,0,0,0,0,0
duellmani,1,0,0,0,0,0,0,0,0
megapholidotus,1,0,0,0,0,0,0,0,0
nebuloides,1,0,0,0,0,0,0,0,0
nebulosus,1,0,0,0,0,0,0,0,0
petersii,1,0,0,0,0,0,0,0,0
peucephilus,1,0,0,0,0,0,0,0,0
pygmaeus,1,0,0,0,0,0,0,0,0
rodriguezii,1,0,0,0,0,0,0,0,0
rubiginosus,1,0,0,0,0,0,0,0,0
tropidonotus,1,0,0,0,0,0,0,0,0
uniformis,1,0,0,0,0,0,0,0,0
brunneus,0,0,0,0,0,0,0,0,1
carolinensis,0,0,0,0,0,0,0,0,1
fairchildi,0,0,0,0,0,0,0,0,1
oligaspis,0,0,0,0,0,0,0,0,1
scriptus,0,0,0,0,0,0,0,0,1
smaragdinus,0,0,0,0,0,0,0,0,1
capito,1,1,0,0,0,0,0,0,0
carpenteri,1,1,0,0,0,0,0,0,0
cupreus,1,1,0,0,0,0,0,0,0
kemptoni,1,1,0,0,0,0,0,0,0
limifrons,1,1,0,0,0,0,0,0,0
lionotus,1,1,0,0,0,0,0,0,0
oxylophus,1,1,0,0,0,0,0,0,0
quaggulus,1,1,0,0,0,0,0,0,0
salvini,1,1,0,0,0,0,0,0,0
chocorum,0,1,1,0,0,0,0,0,0
latifrons,0,1,1,0,0,0,0,0,0
cooki,0,0,0,0,0,1,0,0,0
cristatellus,0,0,0,0,0,1,0,0,0
cuvieri,0,0,0,0,0,1,0,0,0
desechensis,0,0,0,0,0,1,0,0,0
ernestwilliamsi,0,0,0,0,0,1,0,0,0
evermanni,0,0,0,0,0,1,0,0,0
gundlachi,0,0,0,0,0,1,0,0,0
krugi,0,0,0,0,0,1,0,0,0
monensis,0,0,0,0,0,1,0,0,0
occultus,0,0,0,0,0,1,0,0,0
